id,commercial_name,active,inscription_date,registry_num,formula,active_ingredient,pharma_comp,pharmaceutical_form,concentration,level_price,range_price,min_presentation_price,max_presentation_price,created_at,updated_at,hash
9282,LIQUID ARGININE 3000mg NUTRICENTER SOLUCION ORAL,A,2010-08-18,F033618082010,ASPARTATO DE ARGININA 3000 mg.,ASPARTATO DE ARGININA,LABORATORIOS VIJOSA,SOLUCION ORAL,3000 mg.,,,,,2019-12-17 17:46:25,2019-12-17 17:46:25,d92179744d9dc5b3b0d8d6ef3e1254be
9283,GLUTAMENT POLVO PARA RECONSTITUIR A SOLUCION ORAL,A,2011-07-20,F033620072011,L-GLUTAMINA 10 g.,L-GLUTAMINA,"MEDTRITION, INC.",POLVO PARA RECONSTITUIR A SOLUCION ORAL,10 g.,0.12,$6.18 - $6.18,6.18,6.18,2019-12-17 17:46:25,2019-12-17 17:46:25,e1a094bfb5e1bea3e3a78a8ce292853d
9284,FARCET 10 mg TABLETA RECUBIERTA,A,2015-07-23,F033623072015,Cetirizina clorhidrato 10 mg.,Cetirizina clorhidrato,LABORATORIO FARMACEUTICO FARDEL,TABLETAS RECUBIERTAS,10 mg.,,,,,2019-12-17 17:46:25,2019-12-17 17:46:25,e98c65e9933768bbadf94edf1b064931
9285,SPAR -ALERKAST 10 mg  TABLETAS RECUBIERTAS,A,2008-08-27,F033627082008,Montelukast sódico 10.4 mg. + Montelukast sódico 10.4 mg.,Montelukast sódico + Montelukast sódico,"LABORATORIOS ARSAL, S.A. DE C.V.",TABLETAS RECUBIERTAS,10.4 mg. + 10.4 mg.,1,$10.00 - $10.00,10,10,2019-12-17 17:46:25,2019-12-17 17:46:25,775f77af60beb59be001bcda14720ebd
9286,AMPICILINA  1 g/SULBACTAM  0.5 g  POLVO PARA SOLUCION INYECTABLE BIOGALENIC,A,2013-05-30,F033630052013,AMPICILINA SODICA 1.136 g. + SULBACTAM SODICO 0.562 g.,AMPICILINA SODICA + SULBACTAM SODICO,REYOUNG PHARMACEUTICAL CO. LTD.,POLVO PARA SOLUCION INYECTABLE,1.136 g. + 0.562 g.,,,,,2019-12-17 17:46:25,2019-12-17 17:46:25,15c894a4cc6086eb92d7d62972e9ff8f
9287,"VITAMINA A 50,000 UI CÁPSULAS NOVAMED",A,2016-06-30,F033630062016,Vitamina A 50000 UI,Vitamina A,C.I FARMACAPSULAS S.A.,CAPSULA,50000 UI,,,,,2019-12-17 17:46:25,2019-12-17 17:46:25,d1903c9093d89dae65667d49b9817ec1
9288,TRAVOPROST GAMMA 40mcg/mL SOLUCION OFTALMICA,A,2017-08-31,F033631082017,TRAVOPROST 40 mcg/mL,TRAVOPROST,BALKANPHARMA-RAZGRAD AD. ,SOLUCION OFTALMICA,40 mcg/mL,,,,,2019-12-17 17:46:25,2019-12-17 17:46:25,8619627bee096fff30b98357914265f3
9289,ESTIMULANTE DEL APETITO F.Q. JARABE,A,2003-07-02,F033702072003,CIPROHEPTADINA 3 mg. + CIPROHEPTADINA 3 mg. + Piridoxina 2.5 mg. + Piridoxina 2.5 mg. + Tiamina clorhidrato 2.5 mg. + Tiamina clorhidrato 2.5 mg. + Cianocobalamina 1.25 mcg. + Cianocobalamina 1.25 mcg. + Riboflavina 2.5 mg. + Riboflavina 2.5 mg. + Nicotinamida 15 mg. + Nicotinamida 15 mg.,CIPROHEPTADINA + CIPROHEPTADINA + Piridoxina + Piridoxina + Tiamina clorhidrato + Tiamina clorhidrato + Cianocobalamina + Cianocobalamina + Riboflavina + Riboflavina + Nicotinamida + Nicotinamida,LABORATORIOS FARMACEUTICOS RAZEL,JARABE,3 mg. + 3 mg. + 2.5 mg. + 2.5 mg. + 2.5 mg. + 2.5 mg. + 1.25 mcg. + 1.25 mcg. + 2.5 mg. + 2.5 mg. + 15 mg. + 15 mg.,0.05,$6.97 - $7.20,6.97,7.2,2019-12-17 17:46:25,2019-12-17 17:46:25,a5004f0584d50b10999bbaadf4660f36
9290,AMPLIRON VL 5/160 COMPRIMIDOS RECUBIERTOS,A,2016-07-07,F033707072016,AMLODIPINA BESILATO (EQUIVALENTE A 5.0 mg DE AMLODIPINA BASE)  6.93 mg. + Valsartán 160 mg.,AMLODIPINA BESILATO (EQUIVALENTE A 5.0 mg DE AMLODIPINA BASE)  + Valsartán,"LABORATORIO ROWE, S.R.L.",COMPRIMIDOS RECUBIERTOS,6.93 mg. + 160 mg.,0.51,$15.23 - $15.23,15.23,15.23,2019-12-17 17:46:25,2019-12-17 17:46:25,319f77206289b957e6c6045766101b82
9291,LORATADINA CALOX 10 mg TABLETAS,A,2009-07-08,F033708072009,Loratadina 10 mg.,Loratadina,"CALOX DE COSTA RICA, S.A",TABLETA,10 mg.,0.52,$15.72 - $15.72,15.72,15.72,2019-12-17 17:46:25,2019-12-17 17:46:25,2520daa20c9575dab231ce5c7e7e133d
9292,BORTERO POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE 3.5 mg ,A,2018-09-13,F033713092018,Bortezomib 3.5 mg.,Bortezomib,HETERO LABS LIMITED (UNIDAD - VI),POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,3.5 mg.,,,,,2019-12-17 17:46:25,2019-12-17 17:46:25,4f95493405bfaf0963ea36478f536acd
9293,RANITIDINA PL 75 mg/5 mL JARABE,A,2005-05-18,F033718052005,Ranitidina 75 mg.,Ranitidina,LABORATORIO FARMACEUTICO PAILL,JARABE,75 mg.,0.09,$10.32 - $10.32,10.32,10.32,2019-12-17 17:46:26,2019-12-17 17:46:26,bd26492c3f784b9956d8e333197f2212
9294,CETIRIZINA SWISSFARM 10 mg/mL SOLUCIÓN ORAL GOTAS,A,2019-07-18,,,,,,,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,bc8bdc951f147ab36ecbdebd0f36f45b
9295,CIPROFLOXACINA FD 750 mg TABLETA RECUBIERTA,A,2010-08-18,F033718082010,CIPROFLOXACINA HCL 873.4 mg.,CIPROFLOXACINA HCL,"WEXFORD LABORATORIES, PVT. LTD.",TABLETA RECUBIERTA,873.4 mg.,1.86,$55.67 - $55.67,55.67,55.67,2019-12-17 17:46:26,2019-12-17 17:46:26,89bd945ea3669676b46be7a6fd7bf4c7
9296,PULMO-GRIP FORTE SOLUCION INYECTABLE,A,2001-03-21,F033721032001,Clorfeniramina Maleato 8 mg. + GUAYACOLATO DE GLICERILO 200 mg.,Clorfeniramina Maleato + GUAYACOLATO DE GLICERILO,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,8 mg. + 200 mg.,1.23,$2.45 - $2.45,2.45,2.45,2019-12-17 17:46:26,2019-12-17 17:46:26,15678d248843d9659948acc867813206
9297,VALAXAM D 5/160/25 COMPRIMIDOS RECUBIERTOS,A,2015-07-23,F033723072015,Besilato de amlodipino 6.94 mg. + Valsartán 160 mg. + Hidroclorotiazida 25 mg.,Besilato de amlodipino + Valsartán + Hidroclorotiazida,"LABORATORIOS SAVAL, S.A.",COMPRIMIDOS RECUBIERTOS,6.94 mg. + 160 mg. + 25 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,57e2284ad9f07e9ba754f854ddece68d
9298,RUX COMPRIMIDOS RECUBIERTOS 10 mg,A,2014-07-24,F033724072014,Rosuvastatina cálcica 10 mg.,Rosuvastatina cálcica,"LABORATORIOS SAVAL, S.A.",COMPRIMIDOS RECUBIERTOS,10 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,665f554613cbee4afbf33a7351ab6170
9299,RINOTAPP JARABE,A,2013-05-30,F033730052013,Clorhidrato de fenilefrina 5 mg. + BROMFENIRAMINA MALEATO 2 mg.,Clorhidrato de fenilefrina + BROMFENIRAMINA MALEATO,GAMMA LABORATORIES ,JARABE,5 mg. + 2 mg.,0.21,$9.80 - $10.28,9.8,10.28,2019-12-17 17:46:26,2019-12-17 17:46:26,d1646137dfe7c015c98222c657aed1e6
9300,MANTIXA 2.5 COMPRIMIDOS RECUBIERTOS,A,2017-08-31,F033731082017,Apixaban 2.5 mg.,Apixaban,MEGA LABS S.A.,COMPRIMIDOS RECUBIERTOS,2.5 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,e96c71d6e4bd4024a90567d7cc3fc5aa
9301,FOSKROL ANTIOXIDANTE CON GINKGO BILOBA CAPSULA DE GELATINA BLANDA,A,2003-07-02,F033802072003,EXTRACTO DE  GINKGO BILOBAE 20 mg. + EXTRACTO DE  GINKGO BILOBAE 20 mg. + VITAMINA B12  10 mcg. + VITAMINA B12  10 mcg. + Fosfato tricálcico 25 mg. + Fosfato tricálcico 25 mg. + VITAMINA B1 25 mg. + VITAMINA B1 25 mg. + VITAMINA B6 10 mg. + VITAMINA B6 10 mg. + VITAMINA E 50 mg. + VITAMINA E 50 mg.,EXTRACTO DE  GINKGO BILOBAE + EXTRACTO DE  GINKGO BILOBAE + VITAMINA B12  + VITAMINA B12  + Fosfato tricálcico + Fosfato tricálcico + VITAMINA B1 + VITAMINA B1 + VITAMINA B6 + VITAMINA B6 + VITAMINA E + VITAMINA E,"PROCAPS, S.A.",CAPSULA DE GELATINA BLANDA,20 mg. + 20 mg. + 10 mcg. + 10 mcg. + 25 mg. + 25 mg. + 25 mg. + 25 mg. + 10 mg. + 10 mg. + 50 mg. + 50 mg.,0.42,$7.00 - $11.99,7,11.99,2019-12-17 17:46:26,2019-12-17 17:46:26,c39adb80a22602be73fb4911ed544217
9351,LEVOPRONT 60 mg TABLETAS,A,2015-07-23,F034223072015,Levodropropizina 60 mg.,Levodropropizina,"ARMSTRONG LABORATORIOS DE MEXICO, S.A. DE C.V.",TABLETAS,60 mg.,,,,,2019-12-17 17:46:28,2019-12-17 17:46:28,006d363ce77a3ecfc1dc43200b21a185
9302,NEUROTROPAS DB SOLUCION ORAL ,A,2001-03-07,F033807032001,VITAMINA B6 (PIRIDOXINA CLORHIDRATO) 25 mg. + Ácido glutámico 200 mg. + VITAMINA B12 (CIANOCOBALAMINA) 50 mcg. + VITAMINA B1 (TIAMINA CLORHIDRATO) 25 mg.,VITAMINA B6 (PIRIDOXINA CLORHIDRATO) + Ácido glutámico + VITAMINA B12 (CIANOCOBALAMINA) + VITAMINA B1 (TIAMINA CLORHIDRATO),LABORATORIO QUIMICO FARMACEUTICO MEDITECH LABORATORIES DE CENTRO AMERICA,SOLUCION ORAL,25 mg. + 200 mg. + 50 mcg. + 25 mg.,0.09,$14.24 - $14.24,14.24,14.24,2019-12-17 17:46:26,2019-12-17 17:46:26,756cf6f51c0b8b8e724ef80a4a696be2
9303,AMPLIRON VL H 5/160/12.5 COMPRIMIDOS RECUBIERTOS,A,2016-07-07,F033807072016,AMLODIPINA BESILATO (EQUIVALENTE A 5.0 mg DE AMLODIPINA BASE)  6.93 mg. + Valsartán 160 mg. + HIDROCLOROTIAZIDA 12.5 mg.,AMLODIPINA BESILATO (EQUIVALENTE A 5.0 mg DE AMLODIPINA BASE)  + Valsartán + HIDROCLOROTIAZIDA,"LABORATORIO ROWE, S.R.L.",COMPRIMIDOS RECUBIERTOS,6.93 mg. + 160 mg. + 12.5 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,7b4063df08143d82ca8d362c41621ea6
9304,FLUCONAZOL CALOX 150 mg  CAPSULAS,A,2009-07-08,F033808072009,FLUCONAZOL 150 mg.,FLUCONAZOL,"CALOX DE COSTA RICA, S.A",CAPSULA,150 mg.,3.63,$6.68 - $6.89,6.68,6.89,2019-12-17 17:46:26,2019-12-17 17:46:26,bfec8124da413b74c13236e6ba4cecc2
9305,SENARDIN 10 mg COMPRIMIDOS,A,2018-09-13,F033813092018,Rupatadina Fumarato 12.8 mg.,Rupatadina Fumarato,LABORATORIOS RECALCINE S.A.,COMPRIMIDOS,12.8 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,cbcf1c42bee1564ad85a1e1d288c5f6c
9306,CEFADROXILO SWISSFARM 250 mg/5 mL POLVO PARA SUSPENSIÓN ORAL,A,2019-07-18,,,,,,,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,7ed5c6a5d4ab8d4f8b7129d41d4df09e
9307,QUARENTA  Y  VEINTE  SOLUCION  ORAL,A,2010-08-18,F033818082010,GLICEROFOSFATO DE CALCIO 20 mg. + Piridoxina clorhidrato 12 mg. + Tiamina clorhidrato 25 mg. + Cianocobalamina 25 mcg. + POLVO DE EXTRACTO  DE  RAIZ  DE  GINSENG  PANAX (PANAX  QUINQUEFOLIUS LINN) 50 mg. + ACIDO GLUTAMICO HCL 120 mg. + ASPARTATO DE ARGININA 25 mg.,GLICEROFOSFATO DE CALCIO + Piridoxina clorhidrato + Tiamina clorhidrato + Cianocobalamina + POLVO DE EXTRACTO  DE  RAIZ  DE  GINSENG  PANAX (PANAX  QUINQUEFOLIUS LINN) + ACIDO GLUTAMICO HCL + ASPARTATO DE ARGININA,LABORATORIO FARMACEUTICO ENMILEN,SOLUCION,20 mg. + 12 mg. + 25 mg. + 25 mcg. + 50 mg. + 120 mg. + 25 mg.,0.09,$14.96 - $24.90,14.96,24.9,2019-12-17 17:46:26,2019-12-17 17:46:26,daf76c2b17b0a313d75a594c31a9ba00
9308,CELL-U-LOSS TABLETAS,A,2011-07-20,F033820072011,Óxido de magnesio 44.55 mg. + CLORURO DE POTASIO 65.491 mg. + Cloruro de sodio 66.327 mg. + HOJAS DE DIENTES DE LEON 10 mg. + EXTRACTO DE HOJA DE PEREJIL (PETROSELINUM CRISPUM) 10 mg. + CARBONATO DE CALCIO 71.015 mg. + ASPARAGUS TIPS/ESPARRAGO BLANCO EN POLVO 5 mg. + BARBAS DE MAIZ 137.35 mg.,Óxido de magnesio + CLORURO DE POTASIO + Cloruro de sodio + HOJAS DE DIENTES DE LEON + EXTRACTO DE HOJA DE PEREJIL (PETROSELINUM CRISPUM) + CARBONATO DE CALCIO + ASPARAGUS TIPS/ESPARRAGO BLANCO EN POLVO + BARBAS DE MAIZ,"MANHATTAN DRUG COMPANY, INC",TABLETAS,44.55 mg. + 65.491 mg. + 66.327 mg. + 10 mg. + 10 mg. + 71.015 mg. + 5 mg. + 137.35 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,882ec6e2bb0d0f7235db2fdf71c5e654
9309,VALAXAM D 10/160/25 COMPRIMIDOS RECUBIERTOS,A,2015-07-23,F033823072015,Valsartán 160 mg. + HIDROCLOROTIAZIDA 25 mg. + AMLODIPINO BESILATO 13.87 mg.,Valsartán + HIDROCLOROTIAZIDA + AMLODIPINO BESILATO,"LABORATORIOS SAVAL, S.A.",COMPRIMIDOS RECUBIERTOS,160 mg. + 25 mg. + 13.87 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,5ce0792d0c6178356c18c6c8c65a02bd
9310,DICLOTEG 75 mg/3 mL TG SOLUCION INYECTABLE,A,2014-07-24,F033824072014,DICLOFENACO SODICO 75 mg.,DICLOFENACO SODICO,TECNOQUIMICAS S.A.,SOLUCION,75 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,ac962ca7b3536f0d734fa75d1f179910
9311,BETADUO SUSPENSION INYECTABLE,A,2008-08-27,F033827082008,Betametasona 5 fosfato de sodio 2.7103 mg. + Betametasona dipropionato 6.621 mg.,Betametasona 5 fosfato de sodio + Betametasona dipropionato,PHARMAYECT S.A.,SUSPENSION INYECTABLE,2.7103 mg. + 6.621 mg.,13.25,$13.25 - $22.79,13.25,22.79,2019-12-17 17:46:26,2019-12-17 17:46:26,f5edbe1eea19656946ae981db5b88c3f
9312,MANTIXA 5 COMPRIMIDOS RECUBIERTOS,A,2017-08-31,F033831082017,Apixaban 5 mg.,Apixaban,MEGA LABS S.A.,COMPRIMIDOS RECUBIERTOS,5 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,0d7a8a4dc4e56000863f0f4e111483a7
9313,CONCERTA 18 mg TABLETAS DE LIBERACION PROLONGADA,A,2004-06-02,F033902062004,METILFENIDATO HCL 7.52 mg.,METILFENIDATO HCL,"JANSSEN CILAG MANUFACTURING LLC, GURABO PUERTO RICO",TABLETAS DE LIBERACION PROLONGADA,7.52 mg.,2.01,$60.30 - $60.30,60.3,60.3,2019-12-17 17:46:26,2019-12-17 17:46:26,04f95e16a3408e3228ae03dee6bca1a4
9314,AMPLIRON VL 10/160 COMPRIMIDOS RECUBIERTOS,A,2016-07-07,F033907072016,Besilato de amlodipino 13.86 mg. + Valsartán 160 mg.,Besilato de amlodipino + Valsartán,"LABORATORIO ROWE, S.R.L.",COMPRIMIDOS RECUBIERTOS,13.86 mg. + 160 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,b330434c890b95ed05fff1281141001c
9315,MULTIVITAMINAS SAIMED TABLETAS EFERVESCENTES SABOR A NARANJA,A,2009-07-08,F033908072009,Pantotenato de calcio 0.7 mg. + Vitamina C 80 mg. + Piridoxina clorhidrato 0.5 mg. + Biotina 10 mcg. + D-Alfa tocoferol 8 mg. + Ácido fólico 2.4 mcg. + Tiamina clorhidrato 0.5 mg. + Colecalciferol 0.05 mcg. + Cianocobalamina 2 mcg. + RETINOL (VITAMINA A) 0.032 mg. + ZINC 2 mg. + CALCIO 210 mg. + Selenio 8 mcg. + Riboflavina 0.5 mg. + Nicotinamida 3.5 mg. + MIO-INOSITOL 8.8 mg.,Pantotenato de calcio + Vitamina C + Piridoxina clorhidrato + Biotina + D-Alfa tocoferol + Ácido fólico + Tiamina clorhidrato + Colecalciferol + Cianocobalamina + RETINOL (VITAMINA A) + ZINC + CALCIO + Selenio + Riboflavina + Nicotinamida + MIO-INOSITOL,M/S CAPLIN POINT LABORATORIES LTD,TABLETA EFERVESCENTE,0.7 mg. + 80 mg. + 0.5 mg. + 10 mcg. + 8 mg. + 2.4 mcg. + 0.5 mg. + 0.05 mcg. + 2 mcg. + 0.032 mg. + 2 mg. + 210 mg. + 8 mcg. + 0.5 mg. + 3.5 mg. + 8.8 mg.,,,,,2019-12-17 17:46:26,2019-12-17 17:46:26,6e8afbfb5b9da5cd1ff1bdefd221d5d4
9316,DOLO - TETRAPAK SOLUCION INYECTABLE,A,2003-07-09,F033909072003,DICLOFENACO SODICO 75 mg. + TIAMINA HCL 100 mg. + HIDROXICOBALAMINA 1 mcg. + PIRIDOXINA HCL 100 mg. + CIANOCOBALAMINA  4 mcg.,DICLOFENACO SODICO + TIAMINA HCL + HIDROXICOBALAMINA + PIRIDOXINA HCL + CIANOCOBALAMINA ,LABORATORIOS LAMFER,SOLUCION INYECTABLE,75 mg. + 100 mg. + 1 mcg. + 100 mg. + 4 mcg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,809916cfec09c14b040126bac2ceb126
9317,INDOXYL GEL,A,2012-08-09,F033909082012,Clindamicina fosfato 1 g. + PEROXIDO DE BENZOILO  5 g.,Clindamicina fosfato + PEROXIDO DE BENZOILO ,GLAXO OPERATIONS (UK) LTD.,GEL,1 g. + 5 g.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,ca5bfc8135835e74492349e058257450
9318,ALIMTA 500 mg POLVO LIOFILIZADO PARA SOLUCION INYECTABLE ,A,2005-05-11,F033911052005,PEMETREXED DISODICO HEPTAHIDRATADO 713 mg. + PEMETREXED DISODICO HEPTAHIDRATADO 713 mg.,PEMETREXED DISODICO HEPTAHIDRATADO + PEMETREXED DISODICO HEPTAHIDRATADO,LILLY FRANCE S.A.S.,POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,713 mg. + 713 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,65d29fd3e84347a9b666d16e802fc0c3
9319,CARBAMAZEPINA FLAMINGO 200MG TABLETAS,A,2019-07-18,,,,,,,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,ee1177889f405d5b42a1e77aa92858e7
9320,METFORTEG 850 mg TG TABLETAS,A,2010-08-18,F033918082010,Metformina clorhidrato 850 mg.,Metformina clorhidrato,TECNOQUIMICAS S.A.,TABLETAS,850 mg.,0.29,$8.42 - $8.81,8.42,8.81,2019-12-17 17:46:27,2019-12-17 17:46:27,0016ca0847ab89adeacb0befe2d9cb02
9350,KETOGESIC 20 mg TABLETAS,A,2006-06-21,F034221062006,Ketorolaco trometamina 20 mg.,Ketorolaco trometamina,LABORATORIOS PHARMATOR,TABLETAS,20 mg.,0.6,$18.00 - $18.00,18,18,2019-12-17 17:46:28,2019-12-17 17:46:28,fa5f5f3ca431670d0ee30717eba69d46
9321,"TRA-MA-DOX FORTE 325 mg/37.5 mg TABLETAS
",A,2011-07-20,F033920072011,Paracetamol 325 mg. + Paracetamol 325 mg. + TRAMADOL 37.5 mg. + TRAMADOL 37.5 mg.,Paracetamol + Paracetamol + TRAMADOL + TRAMADOL,LABORATORIOS MARCELI,TABLETAS,325 mg. + 325 mg. + 37.5 mg. + 37.5 mg.,1.12,$11.20 - $22.39,11.2,22.39,2019-12-17 17:46:27,2019-12-17 17:46:27,f65c4d37278c6ed8c3f6839a337b781f
9322,APODEFIL 100 mg TABLETAS RECUBIERTAS,A,2015-07-23,F033923072015,SILDENAFIL CITRATO 140.48 mg.,SILDENAFIL CITRATO,PROTEIN S.A. DE C.V.,TABLETA RECUBIERTA,140.48 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,d93dcdab1eb93f745596cb77f4340dfe
9323,TENOFOVIR DISOPROXILO FUMARATO /EFAVIRENZ /EMTRICITABINA TABLETAS (RECUBIERTAS) 300 mg /600 mg /200 mg,A,2018-09-27,F033927092018,EFAVIRENZ 600 mg. + Tenofovir disoproxil fumarato 300 mg. + EMTRICITABINA 200 mg.,EFAVIRENZ + Tenofovir disoproxil fumarato + EMTRICITABINA,MYLAN LABORATORIES LIMITED (MAHARASHTRA),TABLETAS RECUBIERTAS,600 mg. + 300 mg. + 200 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,0acb077b431fdc91e7f631234e0b76ca
9324,TAG BALSAMICO SOLUCION INYECTABLE,A,2001-03-28,F033928032001,FENILEFRINA HCl 3 mg. + GUAYACOLATO DE GLICERILO 200 mg. + CLORFENIRAMINA MALEATO 8 mg.,FENILEFRINA HCl + GUAYACOLATO DE GLICERILO + CLORFENIRAMINA MALEATO,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,3 mg. + 200 mg. + 8 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,c10590ea52288f66bf295efd54d7870e
9325,BETISTIN 24 mg COMPRIMIDOS,A,2017-08-31,F033931082017,BETAHISTINA CLORHIDRATO 24 mg.,BETAHISTINA CLORHIDRATO,EUROFARMA LABORATÓRIOS S.A.,COMPRIMIDOS,24 mg.,0.42,$8.46 - $8.46,8.46,8.46,2019-12-17 17:46:27,2019-12-17 17:46:27,906a9450b4d3e19c3506cea67e22e678
9326,CONCERTA 36 mg TABLETAS DE LIBERACION PROLONGADA,A,2004-06-02,F034002062004,METILFENIDATO HCL 7.52 mg.,METILFENIDATO HCL,"JANSSEN CILAG MANUFACTURING LLC, GURABO PUERTO RICO",TABLETAS DE LIBERACION PROLONGADA,7.52 mg.,3,$89.93 - $89.93,89.93,89.93,2019-12-17 17:46:27,2019-12-17 17:46:27,01e847a39d8c9a611c718a2814ce641c
9327,"PEUTIC 40, ESOMEPRAZOL 40mg POLVO LIOFILIZADO PARA SOLUCION INYECTABLE",A,2016-07-07,,,,,,,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,18540218b5ff9ab5b908cc2260ba818b
9328,IRISLATAN 0.005% SOLUCION OFTÁLMICA,A,2019-07-18,,,,,,,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,58b2e2335e506059b6c4be22c905e2a5
9329,APODEFIL 50 mg TABLETAS RECUBIERTAS,A,2015-07-23,F034023072015,SILDENAFIL CITRATO 70.24 mg.,SILDENAFIL CITRATO,PROTEIN S.A. DE C.V.,TABLETA RECUBIERTA,70.24 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,78692c14c0a0578d89f0c46bca64d091
9330,ZIVAL COMPRIMIDOS RECUBIERTOS 5 mg,A,2014-07-24,F034024072014,LEVOCETIRIZINA DICLORHIDRATO  5 mg.,LEVOCETIRIZINA DICLORHIDRATO ,"LABORATORIOS SAVAL, S.A.",COMPRIMIDOS RECUBIERTOS,5 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,01362a877353ed0cbd2da961cfac39c8
9331,FLUCONAZOL FG 150 mg CAPSULAS,A,2008-06-27,F034027062007,FLUCONAZOL 150 mg.,FLUCONAZOL,"WEXFORD LABORATORIES, PVT. LTD.",CAPSULA,150 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,e84108add4dcd2677b6b9249e918c400
9332,LOPINAVIR /RITONAVIR TABLETAS (RECUBIERTAS) 200 mg/50 mg,A,2018-09-27,F034027092018,Ritonavir 50 mg. + Lopinavir 200 mg.,Ritonavir + Lopinavir,MYLAN LABORATORIES LIMITED (MAHARASHTRA),TABLETAS RECUBIERTAS,50 mg. + 200 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,56e7443db554669edde18f1b55748d06
9333,QUETIAPINA 100 mg MK TABLETA RECUBIERTA,A,2013-05-30,F034030052013,QUETIAPINA 100 mg.,QUETIAPINA,TECNOQUIMICAS S.A.,TABLETA RECUBIERTA,100 mg.,0.8,$23.88 - $23.88,23.88,23.88,2019-12-17 17:46:27,2019-12-17 17:46:27,c6b7f036324a505da3036c00554b8a3c
9334,DARISEC 15 COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA ELEA,A,2017-08-31,F034031082017,Darifenacina bromhidrato 17.85 mg.,Darifenacina bromhidrato,LABORATORIO ELEA S.A.C.I.F. Y A.,COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA,17.85 mg.,0.8,$24.00 - $24.00,24,24,2019-12-17 17:46:27,2019-12-17 17:46:27,905a73eb0ebc463e793dbbf748488e8c
9335,CONCERTA 54 mg TABLETAS DE LIBERACIÓN PROLONGADA,A,2004-06-02,F034102062004,METILFENIDATO HCL 9.2 mg.,METILFENIDATO HCL,"JANSSEN CILAG MANUFACTURING LLC, GURABO PUERTO RICO",TABLETAS DE LIBERACION PROLONGADA,9.2 mg.,3.62,$108.59 - $108.59,108.59,108.59,2019-12-17 17:46:27,2019-12-17 17:46:27,3776881925d704e920aa162aa3576027
9336,SUPRALER COMPRIMIDOS RECUBIERTOS 5 mg,A,2005-03-16,F034116032005,LEVOCETIRIZINA DICLORHIDRATO  5 mg.,LEVOCETIRIZINA DICLORHIDRATO ,LABORATORIOS FRASCA S.R.L.,COMPRIMIDO RECUBIERTO,5 mg.,1.21,$15.03 - $27.36,15.03,27.36,2019-12-17 17:46:27,2019-12-17 17:46:27,40838d2196f76347d5a0d033d90fd1b6
9337,ZOLPANT 40- PANTOPRAZOL TABLETAS RECUBIERTAS DE LIBERACION RETARDADA 40MG,A,2019-07-18,,,,,,,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,4e30daeb3338e4b5db79bd6bad7ed3df
9338,CARDIOTAL 100 mg COMPRIMIDOS,A,2006-06-21,F034121062006,Atenolol 100 mg.,Atenolol,MEDIPAN S.A.,COMPRIMIDO,100 mg.,,,,,2019-12-17 17:46:27,2019-12-17 17:46:27,3908e6e363e5bb73ab8520f9518a7fa3
9339,ALENDROGEN-70 COMPRIMIDOS,A,2002-05-22,F034122052002,Alendronato sódico trihidrato 93.35 mg.,Alendronato sódico trihidrato,"LABORATORIOS GENERIX, S.A. DE C.V.",COMPRIMIDO,93.35 mg.,6.98,$13.95 - $13.95,13.95,13.95,2019-12-17 17:46:27,2019-12-17 17:46:27,43ae74d54399171e081fc1b16a63e230
